_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,Güncelleme Tarihi / Updated as of,42437.0,_unnamed_7,USD/TRY=,2.9201,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17,_unnamed_18,_unnamed_19,_unnamed_20,_unnamed_21,_unnamed_22,_unnamed_23,_unnamed_24,_unnamed_25,_unnamed_26,_unnamed_27
Sayý,ISIN Kodu,Ýlgili Menkul Kýymet,Ýhraçcý Kurum,Ýhraç Türü,Getiri Türü,MK Türü,Yýllýk Kupon Sayýsý,Para Birimi,Grup Kodu,Ýlk Ýhraç Tarihi,Ýtfa Tarihi,Vadeye Kalan Gün,Toplam Ýhraç Tutarý Nom.,Son Ýhraç Tarihi,Son Ýhraç Fiyatý,Son Ýhraç Getirisi % (yýllýk basit),Gösterge Fiyat,Sonraki Kupon Tarihi,Sonraki Kupon Oraný %,Ek Getiri (%) (*),Dolaþýmdaki Tutar,Emir Giriþ Yöntemi,Ýþlemiþ Faiz/Kira,Temiz Fiyat,Kirli Fiyat,Takas Fiyatý,Getiri,Bileþik Getiri,Gün Sayým Konvansiyonu,Açýklamalar
No,ISIN Code,Related Security,Issuer,Type of Issuance,Type of Yield,Type of Security,Number of Coupons p.a.,Currency,Group Code,First Issue Date,Maturity Date,Days to Maturity,Total Issue Amount Nom.,Last Issue date,Last Issue Price,Last Issue Yield % (simple p.a.),Reference Price (TRY),Next Coupon Date,Next Coupon Rate %,Spread (%) (*),Outstanding Value,Quotation Method,Accrued Int./Lease,Clean Price,Dirty Price,Settlement Price,Yield,Compound Yield,Day Count Convention,Remarks
,,,,,,,,,,,,,(1000 TRY/USD/EUR),,,,,,,,(1000 TRY),,,,,,,,,
24.0,TRT090119K16,TRT060121T24,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40562.0,43474.0,1037.0,,40562.0,,,2.062,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
25.0,TRT100719K17,TRT060121T24,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40562.0,43656.0,1219.0,,40562.0,,,2.035,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
26.0,TRT080120K14,TRT060121T24,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40562.0,43838.0,1401.0,,40562.0,,,2.008,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
27.0,TRT080720K18,TRT060121T24,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40562.0,44020.0,1583.0,,40562.0,,,1.981,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
28.0,TRT060121K15,TRT060121T24,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40562.0,44202.0,1765.0,,40562.0,,,1.955,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
29.0,TRT060121A17,TRT060121T24,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40562.0,44202.0,1765.0,,40562.0,,,130.301,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
30.0,TRT040516T11,,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,2.0,TRY,108.0,40674.0,42494.0,57.0,2463671.64043,40863.0,102.788,2.52,149.32,42494.0,1.25,,3678754.49349,Temiz Fiyat/Clean Price,Formül 5/Formula 5,Giriþ/Input,Formül 6/Formula 6,Formül 8/Formula 8,Formül 2/Formula 2,Formül 4/Formula 4,Act/Act ISMA,"Son kupon döneminde getiri hesabýnda Formül 9, bileþik getiri hesabýnda Formül 3 kullanýlmaktadýr. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations."
31.0,TRT040516T29,TRT040516T11,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40674.0,42494.0,57.0,,40674.0,,,149.32,,,,,Temiz Fiyat/Clean Price,Formül 5/Formula 5,Giriþ/Input,Formül 6/Formula 6,Formül 8/Formula 8,Formül 2/Formula 2,Formül 4/Formula 4,Act/Act ISMA,"Son kupon döneminde getiri hesabýnda Formül 9, bileþik getiri hesabýnda Formül 3 kullanýlmaktadýr. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations."
32.0,TRT040516K10,TRT040516T29,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40674.0,42494.0,57.0,,40674.0,,,1.843,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
33.0,TRT040516A12,TRT040516T29,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40674.0,42494.0,57.0,,40674.0,,,147.477,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
